,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050,pc_051,pc_052,pc_053,pc_054,pc_055,pc_056
pc_010,28.268,26.694000000000006,39.15,26.503,25.918000000000006,18.105,23.014,3.338,37.412,33.014,0.0,29.337,25.142,31.061,17.226,22.033,26.307,24.202,28.957,8.057,21.061,24.532,26.531,20.112,30.985,26.333,32.436,9.129,35.933,27.701,7.523,27.466,24.512,34.061,21.997,17.776,22.613000000000003,18.964,22.33,25.769,33.624,29.111,31.966,22.213,29.162,25.11,5.067,25.958,37.433,44.037,32.786,18.166,36.032,36.106,38.813,43.25899999999999,29.675
pc_011,11.253,5.4129999999999985,32.899,5.222,7.901,15.877,6.033,28.626,21.412,10.155,29.191,0.0,7.013,9.933,12.722,15.781,20.056,5.7010000000000005,22.706,31.269,10.386,8.584,6.018,9.664,8.214,13.038,8.416,24.629,29.682,1.749,31.997,21.215,7.847,27.811,15.745,36.469,6.579,19.934,17.225,8.446,9.604,1.776,7.5379999999999985,10.26,6.727,3.462,30.054,3.627,31.182,18.13,12.126,13.78,29.781,29.855,32.562,37.009,6.359
pc_012,12.749,10.828,28.655,10.637,9.967,9.125,7.741,24.381,26.916,13.467,24.947,7.0360000000000005,0.0,7.491,5.9689999999999985,11.537,15.812,8.336,18.461,27.024,2.862,9.018,10.665,5.419,11.319,15.838,13.938,17.355,25.437,5.4,27.753,16.971,8.281,23.566,11.501,32.225,7.34,11.344,10.472,1.618,15.126,6.809,11.336,11.717,5.593,9.244,25.809,9.496,26.938,22.142,17.648,7.027,25.537,25.611,28.317,32.764,6.105
pc_013,23.746,14.133,34.628,13.942,15.941,16.055,12.382,30.355,32.89,19.44,30.92,9.933,7.48,0.0,12.9,17.51,21.785,13.264,24.435,32.998000000000005,12.115,14.992,15.593,11.393,17.292,21.811,14.214,26.357,31.411,8.251,33.726,22.944000000000006,14.255,29.54,17.474,38.198,13.313,21.663,17.403,8.913,15.402,9.661,17.309,17.69,3.2060000000000004,12.183,31.783,12.347,32.911,14.788,17.924,13.958,31.51,31.584,34.291,38.738,3.718
pc_014,22.318,16.343,33.2,16.152,14.889,3.668,12.662,16.647000000000002,31.461,18.388,17.212,12.786,5.9620000000000015,12.865,0.0,16.082,20.357,13.851,23.006,19.29,11.063,13.94,16.18,10.341,16.24,20.383,20.91,10.275,29.982,11.15,14.675,21.516,13.203,28.111,16.046,29.324,12.261,14.523,7.643,4.945,22.098000000000006,12.56,16.257,16.262,10.966,14.758,18.075,15.246,31.483,27.515,22.074,2.129,30.082,30.156,32.861999999999995,37.309,11.479
pc_015,5.055,7.582000000000002,19.98,7.657,5.012,16.588,6.174,21.349,18.241,9.811,21.914,15.252,11.057,16.975,15.709,0.0,7.1370000000000005,7.737999999999999,9.786,23.992,6.976,3.625,6.968,6.026,7.782999999999999,3.583,17.262999999999998,17.351,16.762,13.615,24.72,8.296,3.606,14.890999999999998,1.172,23.55,4.964,11.11,20.478,11.684,18.451,15.025,8.764,1.388,15.076,7.837999999999999,22.777,8.686,18.263,29.952,17.613,16.649,16.862000000000002,16.936,19.642,24.089,15.589
pc_016,7.16,10.867,18.085,10.942,8.721,21.443,10.128,26.204,16.346,11.905,26.769,20.158,15.963,21.882,20.565,6.273,0.0,11.238,4.487,28.847,11.882,9.504,10.253,10.933,9.877,5.225,19.357,22.207,11.905,18.522,29.576,3.438,9.484,12.996,6.237,17.073,9.971,15.325,25.384,16.59,20.545,19.932,10.857,6.4529999999999985,19.983,13.065,27.632,14.802,16.368,34.858000000000004,19.707,21.504,12.004,15.041,14.785,22.194000000000006,20.495
pc_017,5.857,4.125,19.4,3.934,2.8510000000000004,17.009,1.964,23.558000000000003,17.607,6.351,24.124,5.865,8.375,13.315,13.854,6.9670000000000005,11.048,0.0,11.619000000000002,26.202,7.707000000000002,5.15,2.98,6.984,4.202,7.987999999999999,9.866,19.561,20.673,6.501,26.93,12.207,4.413,18.846,6.92,27.461,2.51,14.867,18.357,9.563,11.054,5.296,4.22,6.192,11.416,2.54,24.987,3.388,17.683,23.703000000000007,10.216,14.912,20.773000000000003,16.48,23.554,23.51,11.929
pc_018,6.287000000000001,10.828,15.042,11.487,9.164,23.806,10.571,28.567,13.304,10.675999999999998,29.132,22.521,18.326,24.244,22.927,9.574,4.478,11.681,0.0,31.21,14.245,12.073,10.696,13.296,9.07,4.265,18.128,24.57,11.487,20.885,31.938,2.505,12.054,6.881,9.538,18.274,10.414,18.447,27.747,18.953,19.316,22.295,9.628,9.754,22.345,13.508,29.995,13.572,13.325,37.221,18.478,23.867,11.586,8.115,14.367,19.152,22.858
pc_019,30.322,28.748,41.20399999999999,28.557,27.972,20.159,25.068,10.132,39.466,35.067,8.057,31.391,27.196,33.115,19.28,24.087,28.361,26.256,31.011,0.0,23.115,26.586,28.585,22.166,33.039,28.387,34.49,17.602,23.911,29.755,14.316,29.52,26.566,36.115,24.051,12.216,24.667,14.814,24.384,27.823,35.67800000000001,31.165,34.02,24.267,31.216,27.164,11.861,28.012,39.487,46.091,34.84,20.219,24.6,38.16,21.69,45.313,31.729
pc_020,13.63,10.232,24.512,10.041,8.777999999999999,12.06,6.551,20.238,22.773000000000003,12.278,20.804,8.182,2.862,9.905,8.905,7.394,11.668,7.74,14.318,22.881,0.0,9.161,10.069,1.6669999999999998,10.129,11.695,16.305,16.241,21.294,6.546,23.61,12.828,8.424,19.423,7.357,28.082,7.483,10.584,13.408,2.593,17.493,7.955,10.147,7.574,8.006,8.648,21.666,9.532,22.795,22.882,16.36,9.963,21.393,21.468000000000004,24.174,28.621,8.519
pc_021,5.79,6.098,22.37,6.172999999999999,3.617,18.978,3.576,23.739,20.631,7.383999999999999,24.304,8.697000000000001,9.007,14.925,13.925,3.644,9.816,5.14,10.388,26.382,9.021,0.0,6.408,8.299,5.2360000000000015,6.756,12.698,19.741,19.442,11.566,27.11,10.975,0.504,17.281,3.597,26.229,2.497,13.5,18.428,9.634,13.886,8.127,5.363,2.869,13.026,5.371,25.167,6.2189999999999985,20.653,27.902,13.047,19.039,19.541,19.326,22.322,26.479,13.539
pc_022,4.797,0.957,17.794,1.3119999999999998,1.679,19.311,3.867,25.86,16.000999999999998,4.744,26.425,6.002000000000002,10.677,15.617,16.155,7.9060000000000015,9.988,3.015,10.56,28.503,10.009,5.381,0.0,9.286,1.48,6.928,9.097,21.863000000000003,19.614,6.6370000000000005,29.232,11.147,4.644,17.785999999999994,6.664,26.401,4.271,17.169,20.659,11.865,10.285,5.433,1.626,5.936,11.558,2.7430000000000003,27.288,3.522,16.077,23.839,9.446,17.214000000000002,19.713,15.421,22.494,21.903,11.191
pc_023,12.682,9.477,23.565,9.286,8.023,13.477,5.7970000000000015,19.291,21.826,11.523,19.856,9.598,5.403,11.322,10.321,6.4460000000000015,10.720999999999998,6.985,13.371,21.934,1.635,8.407,9.314,0.0,9.374,10.748,17.722,15.294,20.347,7.9620000000000015,22.663,11.88,7.669,18.476,6.41,27.134,6.728,9.637,14.824000000000002,3.856,18.91,9.372,9.392,6.626,9.423,7.893,20.719,8.777000000000001,21.848000000000006,24.298,15.605,11.379,20.446,20.521,23.227,27.674,9.935
pc_024,3.674,2.4,15.821,2.475,1.555,25.451,3.909,30.211,14.028,2.772,30.777,8.464,11.231,16.352999999999998,16.148,7.68,9.762,4.164,8.833,32.855,10.002,5.147,1.786,9.279,0.0,6.702000000000001,10.224,26.214,19.388,9.099,33.583,10.921,4.686,14.245,8.442,26.175,4.313,20.092,20.652,11.858,11.412,7.894,1.724,5.812,14.454,5.879,31.639,5.667999999999998,14.104,26.134,10.573,25.511,19.487,14.297,22.268,19.931,14.967
pc_025,2.804,7.771,15.958,7.846,5.625,20.885,7.032,25.645,14.219,8.762,26.211,19.6,15.405,21.323,20.006,3.689,5.1960000000000015,8.142000000000001,4.303,28.289,11.324000000000002,6.407,7.157,10.374,6.7810000000000015,0.0,16.214000000000002,21.648000000000003,14.822,17.964000000000006,29.017,6.355,6.388,10.869000000000002,4.4510000000000005,21.609,6.875,15.526,24.826,16.032,17.402,19.373,7.713999999999999,4.667,19.424,9.969,27.074,11.658,14.241,32.124,16.563,20.945,14.921,10.57,17.702,20.067,19.937
pc_026,12.972,8.389,24.923,7.949,10.890999999999998,24.001,10.106,31.701,23.13,11.873,32.266,8.416,13.938,14.214,19.358,17.016,19.098,9.775,18.131,34.344,18.573,12.658,9.025,17.851,9.932,16.248,0.0,27.703000000000007,28.723000000000006,9.872,35.072,20.257,11.921,23.347,15.062,35.511,10.653,23.009,23.861,15.371,1.364,9.9,9.256,14.334,11.008,7.536,33.129,6.523,23.206,17.399,4.61,20.416,28.823,23.595,31.604,29.032,10.64
pc_027,23.732,22.159,34.614000000000004,21.968000000000004,21.383000000000006,8.485,18.478,6.422999999999999,32.876,28.478,9.073,24.802,16.660999999999998,26.525,10.274,17.497,21.771,19.667,24.421,15.867,16.526,19.996,21.996,15.576,26.449,21.798,27.901,0.0,31.397,23.165,4.396,22.93,19.977,29.526,17.461,27.893,18.077,14.786,10.479,15.644,29.089,24.575,27.43,17.677,24.626,20.574,7.381,21.422,32.897,39.502,28.25,10.417,31.496,31.57,34.277,38.724,25.139
pc_028,16.604,20.311,27.529,20.386,18.165,30.888,19.572,35.648,25.79,21.349,36.213,29.602,25.407,31.326,30.009,16.655,11.864,20.682,11.316,22.133000000000006,21.326,18.948,19.697,20.377,19.321,14.669,28.801,31.651,0.0,27.966,39.02,10.268,18.928,14.964,16.619,11.98,19.415,25.529,34.828,26.034,29.989,29.376,20.301,16.835,29.427,22.509,37.076,24.246,25.812,44.302,29.151,30.948,11.601,15.135,3.928,31.638,29.94
pc_029,11.855,6.0139999999999985,31.283,5.823,8.502,14.261,6.634,27.009,29.544,10.757,27.574,1.768,5.396,8.259,11.105,14.164,18.439,6.303,21.089,29.652,8.77,9.186,6.62,8.047,8.816,18.466,9.892,23.012,28.065,0.0,30.381,19.598,8.449,26.194000000000006,14.128,34.852,7.181,18.318,15.608,6.829,11.08,1.5419999999999998,8.139,14.344,5.053,4.064,28.437,4.229,29.566,19.606,11.056,12.163,28.164,28.238000000000003,30.945,35.392,4.685
pc_030,31.381,29.807,42.26300000000001,29.616,29.031,13.601,26.126,4.817,40.524,36.126,7.467,32.45,21.778,34.173,15.390999999999998,25.145,29.419,27.315,32.069,14.26,24.174,27.644,29.644,23.225,34.098,29.446,35.549,5.113,39.045,30.814,0.0,30.579,27.625,37.174,25.109,24.9,25.725,19.581,15.595,20.761,36.737,32.224000000000004,35.078,25.325,32.274,28.222,4.534,29.07,40.546,47.15,35.898,15.533,39.144,39.219,41.925,46.372,32.787
pc_031,8.168,11.875,19.093,11.951,9.73,22.452,11.137,27.213,17.355,12.914,27.778,21.167,16.972,22.89,21.573,8.22,3.429,12.246,2.505,29.856,12.890999999999998,10.512,11.261,11.941,10.885,6.234,20.366,23.215,10.438,19.531,30.584,0.0,10.493,9.048,8.184,17.226,10.979,17.093,26.393,17.599,21.554,20.94,11.866,8.4,20.991,14.073,28.641,15.81,17.377,35.867,20.715,22.513,10.537,8.267999999999999,13.318,23.203000000000007,21.504
pc_032,5.745,5.385,22.325,5.46,3.282,18.933,2.863,23.694000000000006,20.586,6.7810000000000015,24.259,7.984,8.294,14.212,13.212,3.599,9.772,4.426,10.343,26.337,8.308,0.504,5.695,7.585,4.633,6.7120000000000015,11.984000000000002,19.697,19.397,10.853,27.065,10.931,0.0,17.236,3.552,26.185,1.784,13.456,17.715,8.921,13.173,7.414,4.65,2.824,12.313,4.658,25.122,5.506,20.608,27.189,12.334,14.27,19.497,19.281,22.277,26.434,12.826
pc_033,11.688,16.587,14.236,17.246,16.665,29.274,18.072,34.035,12.498,13.549,34.6,27.989,23.794,29.712,28.395,15.042,13.699000000000002,19.182,6.952000000000001,36.678,19.713,17.541,18.197,18.763,14.829,11.22,23.887,30.037,14.895,26.353,37.406,10.757,17.521,0.0,15.005999999999998,21.35,17.915,23.915,33.215,24.421,25.075,27.762,15.387,15.222,27.813,23.761,35.463,19.331,12.519,42.68899999999999,24.237,29.335,5.7029999999999985,4.913,17.775,18.346,28.326
pc_034,5.803,7.563,19.93,7.638,4.993,16.538,6.155,21.299,18.191,10.56,21.864,15.202,11.007,16.925,15.659,1.158,7.086,7.7189999999999985,9.736,23.942,6.925,3.606,6.948,5.976,6.612,4.331,18.011,17.301,16.712,13.565,24.67,8.245,3.587,14.841,0.0,23.499,4.945,11.06,20.428,11.634,19.2,14.975,6.819,1.035,15.026,7.819,22.727,8.667,18.213,29.902,18.361,16.599,16.811,16.886,19.592,24.039,15.539
pc_035,23.482,27.189,34.407,27.265,25.044,30.183000000000003,26.451,20.784,32.669000000000004,28.228,18.71,36.481,32.286,38.204,29.305,23.534,17.093,27.56,18.195,12.219,28.205,25.826,26.575,27.255,26.199,21.548,35.68,27.626,11.857,34.845,23.805,17.146,25.807,21.295,23.498,0.0,26.293000000000006,23.705,34.408,32.913000000000004,36.868,36.254,27.18,23.714,36.305,29.387,22.513,31.124,32.69,51.181,36.029,30.244,17.933,21.466,9.474,38.517,36.81800000000001
pc_036,5.771,5.056,23.699,4.784,2.952,15.425,1.515,21.974,21.96,6.452000000000001,22.539,6.716,7.351,13.27,12.269,4.973,9.798,4.097,10.369000000000002,24.617,7.366,2.522,5.3660000000000005,6.643,4.303,6.738,10.717,17.977,19.423,9.91,25.345,10.957,1.785,18.61,4.926,26.211,0.0,13.283,16.772000000000002,7.978,11.905,6.147,4.3210000000000015,4.198,11.371,3.391,23.402,4.239,21.982,26.246,11.067,13.327,19.523,20.655,22.304,27.808000000000003,11.884
pc_037,15.64,17.776,28.154,17.585,14.880999999999998,15.209,14.095,18.453,26.415,22.017,19.018,17.357,11.344,19.081,14.33,10.995,15.31,15.284,17.96,14.815,10.57,13.494000000000002,17.613,9.682,19.988,14.168,25.481,14.607,24.936,15.720999999999998,18.685,16.469,13.475,23.065,10.959,23.728,13.694,0.0,20.518,11.075,26.669,17.131,16.707,11.175,17.182000000000002,16.191,19.881,17.039,26.437,32.058,23.867,15.269,25.035,25.11,27.816,32.263000000000005,17.695
pc_038,26.835,21.102,37.717,20.911,19.648,3.242,17.421,16.284000000000002,35.978,23.147,21.73,17.545,10.720999999999998,17.624000000000006,6.024,20.6,24.874,18.61,27.524,23.808000000000003,15.822,18.699,20.939,15.1,20.999,24.9,25.669,9.857,34.499,15.909,14.257,26.033,17.961,32.628,20.563,33.841,17.02,19.04,0.0,9.704,26.857,17.319000000000006,21.016,20.779,15.725,19.517,17.242,20.005,36.0,32.274,26.833,4.717,34.599000000000004,34.673,37.38,41.826,16.238
pc_039,13.44,12.112,26.733,11.921,10.658,8.257,8.432,22.46,24.995,14.158,23.025,8.547,1.711,9.003,5.101,9.615,13.89,9.62,16.54,25.103,2.593,9.709,11.949000000000002,3.888,12.009,13.916,15.45,16.487000000000002,23.516,6.9110000000000005,20.888,15.049,8.972000000000003,21.645,9.579,30.303,8.031,11.075,9.604,0.0,16.637999999999998,8.321,12.027,9.795,7.104,10.528,23.888,11.007,25.016,23.653,19.16,6.159,23.615,23.689,26.396,30.843000000000004,7.617000000000001
pc_040,14.16,9.577,26.111,9.137,12.079,25.189,11.294,32.889,24.318,13.061,33.454,9.604,15.126,15.402,20.546,18.204,20.286,10.963,19.319000000000006,35.532,19.762,13.845999999999998,10.213,19.039,11.12,17.436,1.364,28.891,29.912,11.06,36.26,21.445,13.109000000000002,24.535,16.25,36.699,11.841,24.197,25.049,16.559,0.0,11.088,10.444,15.522,12.197,8.724,34.317,7.7120000000000015,24.394,18.587,3.928,21.604,30.011,26.58,32.792,30.221,11.829
pc_041,10.313,4.82,22.612,4.629,7.308,15.66,5.439,28.408,20.819000000000006,9.562,28.974,1.753,6.795,9.658,12.504,15.564,19.838,5.1080000000000005,22.488000000000003,31.051,10.169,7.991,5.425,9.446,7.621,12.445,9.876,24.411,29.464,1.531,31.78,20.998,7.254,27.593000000000004,10.395,36.252,5.9860000000000015,19.717,17.007,8.228,11.064,0.0,6.945,9.667,6.4529999999999985,2.869,29.836,3.034,20.895,19.59,9.862,13.562,29.563,29.638,32.344,26.721,6.085
pc_042,4.468,1.652,16.42,1.727,2.388,26.283,3.927,31.044,14.627,3.37,31.609,7.569,11.249,16.371,16.167,8.513,10.595,3.653,9.627,33.687,10.02,5.441,1.038,9.297,1.429,7.745,9.329,27.047,20.22,8.204,34.415,11.754,4.704,14.844,9.275,27.008000000000006,4.331,20.924,20.67,11.876,10.517,7.0,0.0,6.645,13.126,4.47,32.472,4.774,14.703,25.24,9.679,17.225,20.32,15.092,23.101,20.529,12.758
pc_043,6.029,6.816,20.156,6.891,4.246,16.764,5.408,21.524,18.417,8.014,22.09,15.507,11.233,17.151,15.885,1.384,7.312,6.972,9.962,24.168000000000006,7.151,2.859,6.2010000000000005,6.202000000000001,5.865,4.557,15.465,17.527,16.938,13.791,24.896,8.471,2.84,15.067,1.016,23.725,4.198,11.286,20.653,11.859000000000002,16.654,15.201,6.072,0.0,15.252,7.072,22.953000000000007,7.92,18.439,30.128,15.815,16.824,17.037,17.112000000000002,19.818,24.265,15.765
pc_044,21.875,10.928,32.757,10.737,14.069,14.184,10.51,28.483,31.018,17.569000000000006,29.049,6.727,5.609,3.2060000000000004,11.028,15.639,19.914,11.393,22.563,31.126,10.244000000000002,13.12,11.533,9.521,15.421,19.94,11.008,24.486,29.539,5.046,31.855,21.073,12.383,27.668000000000006,15.603,36.327,11.442,19.792,15.531,7.042000000000002,12.197,6.455,13.053,15.819,0.0,8.977,29.911,9.142,31.04,17.855999999999995,14.718,12.086,29.639,29.713,32.419000000000004,36.866,0.513
pc_045,7.704,2.138,19.645,1.947,4.698,17.875,2.83,24.424,17.852,7.04,24.99,3.497,9.241,14.181,14.72,7.832999999999998,12.895,2.498,13.466,27.068,8.573,5.3820000000000014,2.7430000000000003,7.85,5.098,9.835,7.586,20.427,22.521,4.132,27.796,14.054,4.645,23.609,7.786,29.308000000000003,3.3760000000000003,15.733,19.223,10.429,8.774,2.928,3.978,7.058,9.054,0.0,25.853,1.108,17.928,21.334,7.935,15.778,22.62,25.654,25.401,23.755,8.686
pc_046,29.437,27.864,40.319,27.673,27.088,19.274,24.183000000000003,2.222,38.581,34.183,5.067,30.507,26.312,32.23,18.395,23.202,27.476,25.371,30.126,11.861,22.231,25.701,27.701,21.281,32.154,27.503,33.605,7.381,37.102,28.87,4.237,28.635,25.682,35.231,23.166,22.957,23.782,20.134,17.863,26.939,34.794000000000004,30.28,33.135,23.382,30.331,26.279,0.0,27.127,38.602,45.207,33.955,19.335,37.201,37.275,39.982,44.429,30.844
pc_047,8.443999999999999,2.9,20.396,2.709,5.526,18.358,3.658,25.252,18.603,7.346,25.818,3.594,9.493,12.356,15.202,8.66,14.57,3.326,13.603,27.895,9.401,6.21,3.505,8.677999999999999,5.405,11.720999999999998,6.54,21.255,24.196,4.229,28.624,15.729,5.472,18.819000000000006,8.613999999999999,30.983,4.204,16.561,19.705,10.925999999999998,7.728,3.024,4.728,7.886,9.15,1.087,26.68,0.0,18.679,21.431,6.8889999999999985,16.26,24.295,20.864,27.076,24.505,8.783
pc_048,14.202,14.77,7.307,15.428,13.97,31.787,20.585,36.548,5.327000000000001,11.732,37.113,30.502,26.307,32.225,30.909,17.555,16.212,16.58,12.615,39.191,22.226,20.054,13.885,21.277,13.012,13.733,22.07,32.551,25.838,28.866,39.919,14.782,20.035,12.115,17.519000000000002,32.625,20.428,26.428,35.728,26.934,23.258000000000006,30.276,13.57,17.735,30.327,17.21,37.976,17.514,0.0,37.98,22.419,31.848000000000006,16.415,14.159,28.718000000000004,11.417,30.839
pc_049,28.882,24.299,49.622,23.86,26.801,31.049,23.87,45.348,39.041,27.784,45.914,18.13,22.474,15.130999999999998,27.893,32.504,36.779,23.538,39.428,47.99100000000001,27.109,29.985,23.855,26.386,25.843000000000004,32.159,17.399,41.351000000000006,46.404,19.586,48.72,37.938,29.248,44.533,32.468,53.192,24.416,36.657,32.396,23.907,18.587,19.614,25.166,32.684,18.199,21.299,46.776,21.464,47.905,0.0,21.109,28.951,46.504,46.578,49.284,53.731,18.567
pc_050,13.334,8.751,25.286,8.312000000000001,11.253,25.169,10.469,32.063,23.493,12.236,32.628,10.405,17.629,17.904,22.013,17.378,19.46,10.137,18.493,34.706,16.212,13.02,9.388,15.489,10.295,16.611,4.59,28.066,29.086,11.04,35.435,20.619,12.283,23.71,15.425,35.87300000000001,11.015,23.372,27.551,19.062,3.908,9.835,9.618,14.697,14.699000000000002,7.898,33.491,6.886,23.569000000000006,21.089,0.0,23.071,29.185,25.754,31.966,29.395,14.331
pc_051,23.304,17.101,34.186,16.91,15.647,1.781,13.42,17.634,32.448,28.05,18.199,13.544,6.72,13.623,2.129,17.069000000000006,21.343000000000004,14.609000000000002,23.993,20.277,11.821,14.697,16.938,11.098,16.998,21.37,21.668000000000006,10.390999999999998,30.969,11.908,14.792,22.502,13.96,29.098000000000006,17.033,30.311,13.019,15.509,5.3210000000000015,5.7029999999999985,22.856,13.318,17.015,17.249000000000002,11.724,15.515999999999998,19.062,16.004,32.469,28.273000000000003,22.832,0.0,31.068,31.142,33.849000000000004,38.296,12.237
pc_052,16.737000000000002,20.445,18.596,20.52,18.299,31.021,19.706,38.394,16.858,17.909000000000006,38.96,29.736,25.541,31.459,30.142,16.789,11.998,20.816,11.45,22.841,21.46,19.081,19.83,20.511,19.454,14.803,28.935,31.784,11.537,28.1,41.76600000000001,7.399,19.062,5.707000000000002,16.753,17.992,19.548,25.662,34.962,26.168000000000006,30.123,29.51,20.435,16.969,29.56,22.643,39.823,24.379,16.879,47.049,29.284,31.082,0.0,5.877999999999999,14.417,22.706,30.073
