,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050
pc_010,19.83,31.95,22.7283,22.3667,33.14,33.8133,21.4117,22.5533,31.0533,38.6783,0,43.7383,23.225,10.6583,25.615,15.4583,16.3533,38.3633,31.4183,36.8783,26.5233,24.8583,30.915,43.165,21.23,27.83,22.7117,15.5117,26.1117,32.7167,54.6733,62.8183,43.2717,18.4367,18.8517,30.6967,15.5967,37.4983,33.2683,31.2567,20.2867,23.3567,26.7483,28.2833,35.6883,24.9617,36.0967,29.435,18.2267,30.0667,32.34
pc_011,31.9933,21,33.0667,32.4,30.67,22.8633,31.445,32.0083,28.6433,21.8217,42.935,0,29.2333,34.5433,21.6533,45.5533,47.045,31.76,14.4867,25.4317,34.0683,33.3733,32.8567,24.0467,38.4233,28.025,28.72,46.2033,31.44,30.21,39.0667,28.3217,25.545,34.8017,31.71,24.5033,49.895,25.3867,30.7917,32.0967,33.49,34.9417,35.945,25.265,10.65,37.9,25.4833,16.265,35.42,32.3983,29.7433
pc_012,9.8667,17.34,5.3133,10.2117,22.5933,19.2033,9.3183,4.255,15.6067,24.0683,22.7383,29.1283,0,14.3467,11.005,22.6983,26.8483,26.8767,16.8083,22.2683,12.13,10.775,17.4917,28.555,17.9333,12.3833,4.8867,26.0067,10.0267,21.9767,40.0633,48.2083,28.6617,13.435,11.875,16.0867,29.6983,22.8883,22.655,14.8333,13.3383,11.6933,18.8433,13.6733,21.0783,16.9983,21.4867,14.825,14.7233,26.3433,18.65
pc_013,10.6583,22.7783,13.6117,13.195,27.5583,24.6417,12.24,13.3817,21.8817,29.5067,10.72,34.5667,14.0533,0,16.4433,17.1,17.9167,32.4233,22.2467,27.7067,17.3517,15.6867,23.0383,33.9933,16.0483,18.6583,13.54,17.075,16.94,27.135,45.5017,53.6467,34.1,12.4267,9.68,21.525,20.7667,28.3267,27.6867,22.085,11.115,14.185,21.5667,19.1117,26.5167,19.78,26.925,20.2633,13.045,24.885,24.1967
pc_014,13.8517,10.5217,14.925,14.2583,19.1583,12.385,13.3033,13.8667,11.55,17.25,24.7933,21.6217,11.0917,16.4017,0,27.4117,28.9033,21.2717,8.7267,15.45,15.9267,15.2317,15.9617,22.4083,20.2817,9.8833,10.5783,28.0617,13.2983,18.5417,33.245,42.0617,21.8433,16.66,13.5683,12.1167,31.7533,16.07,19.22,14.3233,15.3483,16.8,20.5033,6.7467,14.26,20.0033,14.6683,6.2317,17.2783,21.92,13.9017
pc_015,24.1267,34.1533,18.4,24.5333,38.9983,36.0167,23.5783,19.4983,33.2567,40.8817,15.44,45.9417,22.74,18.0317,27.8183,0,14.41,43.7617,33.6217,39.0817,28.69,27.025,34.3767,45.3683,30.3967,30.0333,24.8783,12.5033,28.2783,38.575,56.8767,58.0283,45.475,26.775,23.85,32.9,17.26,39.7017,39.1267,33.4233,25.4633,27.075,34.9433,30.4867,37.8917,33.0983,38.3,31.6383,27.3933,39.2333,35.535
pc_016,25.1583,35.9183,27.7983,26.335,40.8,37.7817,25.38,26.5217,35.0217,42.6467,16.8217,47.7067,27.1933,18.0617,29.5833,14.57,0,45.5633,35.3867,40.8467,30.4917,28.8267,36.1783,47.1333,30.5983,31.7983,26.68,4.6667,30.08,40.3767,58.6417,61.8183,47.24,26.9767,23.88,34.665,7.69,41.4667,40.9283,35.225,25.665,28.735,36.1167,32.2517,39.6567,34.33,40.065,33.4033,27.595,39.435,37.3367
pc_017,25.1467,18.0167,27.1017,19.4583,10.9433,14.03,24.27,26.0433,8.9267,26.0717,38.7467,32.6483,23.2683,30.355,17.2017,41.365,42.8567,0,20.3283,14.3517,15.2517,15.275,10.9717,36.94,21.485,13.855,19.8917,42.015,15.5033,10.3267,42.0667,56.5933,30.665,24.6183,26.815,26.12,45.7067,24.8917,11.005,10.2117,25.1167,17.3367,15.165,10.5383,24.5983,17.04,9.915,19.28,23.7117,15.9233,7.8583
pc_018,19.4867,9.8017,20.56,19.8933,19.4617,11.665,18.9383,19.5017,16.1367,16.53,30.4283,14.4433,16.7267,22.0367,8.7333,33.0467,34.5383,20.5517,0,14.73,21.5617,20.8667,20.35,20.68,25.9167,15.5183,16.2133,33.6967,18.9333,19.0017,32.525,40.3333,21.1233,22.295,19.2033,15.0183,37.3883,15.35,19.5833,19.59,20.9833,22.435,24.5433,12.6417,13.54,25.6383,13.9483,2.75,22.9133,21.2,17.2367
pc_019,25.4733,8.03,26.5467,22.3683,8.835,4.4317,24.925,25.4883,14.665,16.745,36.415,25.4117,22.7133,28.0233,15.2467,39.0333,40.525,9.925,14.8783,0,18.64,18.785,13.1567,33.435,21.595,17.2183,22.2,39.6833,20.225,8.375,32.74,53.0883,21.3383,24.7283,25.19,23.7883,43.375,15.565,8.9567,15.95,26.97,20.205,14.11,13.1667,15.4983,16.065,4.85,13.83,23.8217,10.6067,11.8283
pc_020,11.8583,22.2733,15.9,6.1367,11.825,19.9917,10.9817,14.8417,10.3,29.0017,25.9933,34.0617,12.0667,17.6017,15.9383,28.6117,30.1033,16.4517,21.7417,18.6583,0,1.9533,7.0667,33.39,10.3717,7.695,8.69,29.2617,3.6967,11.4017,44.9967,53.0433,33.595,13.29,13.8733,20.9217,32.9533,27.8217,11.9533,7.345,13.2167,5.4367,7.7833,12.8217,26.0117,5.9383,16.1033,19.7583,12.61,15.2833,8.225
pc_021,10.1433,21.6933,15.0017,4.4217,12.7683,20.6733,9.2667,13.735,9.5533,28.4217,24.2783,33.4817,11.1683,15.8867,15.3583,26.8967,28.3883,17.085,21.1617,19.34,2.0133,0,7.7,32.81,9.8683,7.0317,7.7917,27.5467,3.1167,12.185,44.4167,52.4633,33.015,12.5567,12.1583,20.3417,31.2383,27.2417,12.8633,6.9867,12.4833,4.9333,8.7267,12.1583,25.4317,6.8817,16.785,19.1783,12.6483,16.2267,8.8583
pc_022,16.5967,18.5817,20.325,10.795,6.7233,14.595,15.72,19.2667,6.7783,26.5383,30.7317,32.3383,16.4917,22.34,15.685,33.35,34.8417,11.0067,20.0183,13.2617,6.5467,6.6917,0,34.63,12.6183,8.6417,13.115,34,8.1317,6.1067,42.5333,54.2833,31.1317,15.7517,18.11,22.1617,37.6917,25.3583,6.785,5.5417,16.4117,8.6317,5.1333,9.0217,24.2883,7.1417,10.7067,18.6283,14.845,10.4017,2.9817
pc_023,31.37,28.5117,32.4433,31.7767,38.1717,30.375,30.8217,31.385,30.5433,35.24,42.3117,23.9133,28.61,33.92,22.4217,44.93,46.4217,39.2617,20.69,33.44,33.3633,32.6683,35.0583,0,37.8,27.32,28.0967,45.58,30.735,37.7117,51.235,20.0133,39.8333,34.1783,31.0867,14.3467,49.2717,34.06,38.2933,31.76,32.8667,34.3183,37.94,26.27,24.6183,37.44,32.6583,21.4483,34.7967,39.91,33.425
pc_024,11.96,26.2967,18.3633,8.8283,14.5383,22.705,10.735,16.915,16.0467,33.025,20.8533,38.085,17.4633,15.62,19.9617,29.5633,30.38,19.7617,25.765,21.3717,10.41,10.0433,12.3133,37.5117,0,15.785,14.4167,29.5383,11.7867,14.115,49.02,57.165,37.6183,5.485,10.9817,25.0433,33.23,31.845,14.6667,13.0917,8.6483,6.34,8.1467,19.2283,30.035,6.36,18.8167,23.7817,4.5783,11.4483,13.7383
pc_025,14.3217,16.205,16.2767,10.8167,14.43,16.715,13.445,15.2183,5.31,22.9333,27.5617,27.9933,12.4433,19.17,9.87,30.18,31.6717,18.7133,15.6733,17.0367,7.7917,6.7883,9.1783,27.3217,15.6683,0,9.0667,30.83,5.6533,13.8133,38.9283,46.975,27.5267,17.5617,16.3367,14.8533,34.5217,21.7533,14.4917,5.88,17.465,10.7333,12.06,6.46,19.9433,11.56,12.6,13.69,18.2317,18.545,10.28
pc_026,8.9833,16.6933,8.6967,6.7633,19.145,18.5567,8.1067,7.6383,12.1583,23.4217,22.0917,28.4817,4.8633,13.7,10.3583,24.71,26.2017,23.4283,16.1617,21.6217,8.6817,7.3267,14.0433,27.9083,14.4217,8.935,0,25.36,6.5783,18.5283,39.4167,47.5617,28.015,12.2233,10.9983,15.44,29.0517,22.2417,19.2067,11.385,12.1267,8.245,15.395,13.0267,20.4317,13.55,19.4483,14.1783,13.5117,22.895,15.2017
pc_027,24.4,35.16,27.04,25.5767,40.0417,37.0233,24.6217,25.7633,34.2633,41.8883,16.0633,46.9483,26.435,17.3033,28.825,12.4417,4.7717,44.805,34.6283,40.0883,29.7333,28.0683,35.42,46.375,29.84,31.04,25.9217,0,29.3217,39.6183,57.8833,60.5883,46.4817,26.2183,23.1217,33.9067,9.6567,40.7083,40.17,34.4667,24.9067,27.9767,35.3583,31.4933,38.8983,33.5717,39.3067,32.645,26.8367,38.6767,36.5783
pc_028,11.6017,19.6417,13.9567,7.0133,14.2717,20.9217,10.725,12.8983,8.3567,26.37,25.7367,31.43,10.1233,17.345,13.3067,28.355,29.8467,18.555,19.11,20.81,3.7933,3.265,9.17,30.7583,11.675,5.54,6.7467,29.005,0,13.655,42.365,50.4117,30.9633,14.5933,13.6167,18.29,32.6967,25.19,14.3333,7.0417,14.52,6.74,10.5067,10.6667,23.38,8.6617,16.8067,17.1267,14.455,18.0067,10.3283
pc_029,21.6017,13.455,25.33,15.3333,0.6583,9.4683,20.725,24.2717,10.3,21.4117,33.0617,30.0783,21.4967,27.345,18.575,38.355,39.8467,6.525,18.75,8.135,11.5517,11.6967,6.1217,37.3067,14.56,13.6467,18.12,39.005,13.1367,0,37.4067,56.96,26.005,17.6933,22.6483,27.1667,42.6967,20.2317,0.6783,10.3033,20.8567,13.17,7.075,11.9117,20.165,9.03,5.58,17.7017,16.7867,5.5967,4.74
pc_030,45.2133,28.1333,46.2867,45.62,37.775,29.9683,44.665,45.2283,40.2983,25.7617,56.155,39.0833,42.4533,47.7633,34.9867,58.7733,60.265,38.865,34.6183,32.5367,47.2883,46.5933,42.0967,53.175,50.535,41.245,41.94,59.4233,44.66,37.315,0,64.66,14.39,48.0217,44.93,43.5283,63.115,22.0033,37.8967,43.3983,46.71,48.1617,43.05,38.485,31.9833,45.005,32.5883,33.57,48.64,39.5033,40.7683
pc_031,51.1417,48.2833,52.215,51.5483,57.9433,50.1467,50.5933,51.1567,50.315,49.535,62.0833,28.07,48.3817,53.6917,42.1933,57.8217,61.9167,59.0333,40.4617,53.2117,53.135,52.44,54.83,20.0483,57.5717,47.0917,47.8683,60.41,50.5067,57.4833,64.3417,0,50.82,53.95,50.8583,34.1183,67.3283,53.1,58.065,51.5317,52.6383,54.09,57.7117,46.0417,38.3633,57.2117,52.43,41.22,54.5683,59.6817,53.1967
pc_032,33.9867,16.9067,35.06,34.3933,26.5483,18.7417,33.4383,34.0017,29.0717,14.6233,44.9283,25.5367,31.2267,36.5367,23.76,47.5467,49.0383,27.6383,23.3917,21.31,36.0617,35.3667,30.87,41.9483,39.3083,30.0183,30.7133,48.1967,33.4333,26.0883,14.335,51.1133,0,36.795,33.7033,32.3017,51.8883,12.4333,26.67,32.1717,35.4833,36.935,31.8233,27.2583,19.4167,33.7783,21.3617,22.3433,37.4133,28.2767,29.5417
pc_033,8.6817,23.0183,15.085,9.355,17.7817,24.8817,6.4783,13.6367,19.29,29.7467,18.4817,34.8067,13.2067,12.7917,16.6833,26.285,27.1017,23.005,22.4867,24.615,13.3333,12.5467,15.5567,34.2333,5.8717,17.1933,11.8683,26.26,14.4983,17.3583,45.7417,53.8867,34.34,0,7.7033,21.765,29.9517,28.5667,17.91,16.335,5.1817,7.8217,11.39,19.3517,26.7567,9.6033,22.06,20.5033,2.6617,14.7083,16.9817
pc_034,4.7817,19.9433,11.9683,9.115,23.4,21.8067,6.7233,10.52,19.0467,26.6717,18.9533,31.7317,11.1917,9.9567,13.6083,23.1983,24.015,28.575,19.4117,24.8717,14.0117,12.3467,19.19,31.1583,11.89,15.8233,10.6783,23.1733,13.6,22.9767,42.6667,50.8117,31.265,8.2683,0,18.69,26.865,25.4917,23.5283,18.745,6.9567,10.0267,17.4083,16.2767,23.6817,15.6217,24.09,17.4283,8.8867,20.7267,20.3483
pc_035,18.8017,18.97,19.875,19.2083,27.715,20.8333,18.2533,18.8167,17.975,25.6983,29.7433,24.69,16.0417,21.3517,11.9183,32.3617,33.8533,29.72,14.6233,23.8983,20.795,20.1,22.49,14.5,25.2317,14.7517,15.5283,33.0117,18.1667,27.0983,41.6933,34.1533,30.2917,21.61,18.5183,0,36.7033,24.5183,27.7767,19.1917,20.2983,21.75,25.3717,15.3033,22.7083,24.8717,23.1167,14.42,22.2283,30.3683,22.4583
pc_036,27.8967,38.6567,30.5367,29.0733,43.5383,40.52,28.1183,29.26,37.76,45.385,15.6167,50.445,29.9317,20.8,32.3217,17.3083,7.5267,48.3017,38.125,43.585,33.23,31.565,38.9167,49.8717,33.3367,34.5367,29.4183,9.7983,32.8183,43.115,61.38,67.2733,49.9783,29.715,26.6183,37.4033,0,44.205,43.6667,37.9633,28.4033,31.4733,38.855,34.99,42.395,37.0683,42.8033,36.1417,30.3333,42.1733,40.075
pc_037,28.69,11.61,29.7633,29.0967,21.2517,13.445,28.1417,28.705,23.775,9.2383,39.6317,25.3733,25.93,31.24,18.4633,42.25,43.7417,22.3417,18.095,16.0133,30.765,30.07,25.5733,36.6517,34.0117,24.7217,25.4167,42.9,28.1367,20.7917,22.5883,53.2867,12.1367,31.4983,28.4067,27.005,46.5917,0,21.3733,26.875,30.1867,31.6383,26.5267,21.9617,15.46,28.4817,16.065,17.0467,32.1167,22.98,24.245
pc_038,22.225,14.0783,25.9533,15.82,0.2867,10.0917,21.2517,24.895,10.9233,22.035,33.3417,30.7017,22.12,27.9683,19.1983,38.9783,40.47,7.1483,19.3733,8.7583,12.175,12.32,6.6083,37.93,14.84,14.27,18.7433,39.6283,13.76,0.6233,38.03,57.5833,26.6283,17.9733,23.135,27.79,43.32,20.855,0,10.9267,21.1367,13.6567,7.355,12.535,20.7883,9.5167,6.2033,18.325,17.0667,5.31,5.3633
pc_039,16.025,19.7167,17.98,10.5967,10.8783,15.73,15.1483,16.9217,4.4817,26.9567,30.16,31.6383,14.1467,21.7683,14.1583,32.7783,34.27,15.1617,19.3183,16.0517,6.66,6.4133,5.6517,31.61,12.8933,5.6217,10.77,33.4283,6.3817,10.2617,42.9517,51.2633,31.55,16.0267,18.04,19.1417,37.12,25.7767,10.94,0,16.525,8.745,8.5333,7.7417,23.9667,8.4483,11.615,17.3483,15.12,15.0183,5.6217
pc_040,6.9583,21.295,13.3617,9.2283,21.0683,23.1583,6.3517,11.9133,20.0917,28.0233,20.065,33.0833,12.585,11.0683,14.96,24.5617,25.3783,26.2433,20.7633,26.2233,13.2067,12.42,16.8583,32.51,9.7367,17.0667,11.7417,24.5367,14.3717,20.645,44.0183,52.1633,32.6167,5.26,5.98,20.0417,28.2283,26.8433,21.1967,17.1367,0,7.695,15.255,17.6283,25.0333,13.4683,25.3467,18.78,6.5483,18.5733,18.0167
pc_041,9.43,23,15.2767,2.8417,13.3733,21.54,7.595,13.8283,12.3967,29.7283,23.5633,34.7883,11.8067,14.5667,16.665,26.99,28.4817,18.5483,22.4683,20.2067,5.5117,5.145,9.1633,34.215,6.5733,10.8867,8.43,27.64,6.8883,12.95,45.7233,53.8683,34.3217,7.8533,9.4783,21.7467,31.3317,28.5483,13.5017,9.4417,7.78,0,8.91,15.5783,26.7383,7.1233,17.6517,20.485,8.8983,15.465,10.3217
pc_042,17.9167,19.4383,23.1667,11.5717,7.285,15.4517,16.5517,21.7483,11.35,27.395,26.81,36.0617,19.3333,21.5767,20.2567,34.91,36.3367,12.5083,24.59,14.1183,8.3317,9.22,5.0333,37.71,8.3083,11.7217,15.9567,35.495,10.9633,6.8617,43.39,57.3633,31.9883,11.4417,16.9383,25.2417,39.1867,26.215,7.4133,8.6217,14.605,8.9567,0,13.5933,26.1483,3.43,11.5633,23.2,10.535,8.2417,7.2817
pc_043,17.2667,13.1067,18.34,15.3217,12.4117,12.7567,16.7183,17.2817,4.8033,19.835,28.2083,24.895,14.5067,19.8167,6.6633,30.8267,32.3183,15.39,12.575,13.0783,12.8683,11.865,9.215,26.4017,19.605,6.5167,13.5717,31.4767,10.73,11.795,35.83,46.055,24.4283,20.075,16.9833,15.5817,35.1683,18.655,12.4733,7.77,18.7633,15.4567,13.7567,0,16.845,15.16,8.6417,10.2617,20.6933,16.7683,7.155
pc_044,26.6583,11.0517,27.7317,27.065,20.7217,12.915,26.11,26.6733,23.245,11.7967,37.6,10.71,23.8983,29.2083,16.4317,40.2183,41.71,21.8117,14.1483,15.4833,28.7333,28.0383,25.0433,24.7233,33.0883,22.69,23.385,40.8683,26.105,20.2617,31.965,38.6233,19.0883,29.4667,26.375,24.9733,44.56,15.3617,20.8433,26.345,28.155,29.6067,25.9967,19.93,0,27.9517,15.535,14.1267,30.085,22.45,23.715
pc_045,16.0967,20.925,21.1067,9.5117,8.7717,16.9383,14.8283,19.6883,10.605,28.8817,25.0867,37.5483,17.2733,19.8533,19.2867,32.85,34.3417,13.995,25.0883,15.605,6.2717,7.16,6.5467,36.7383,6.585,10.75,13.8967,33.5,8.9033,8.3483,44.8767,56.3917,33.475,9.7183,15.215,24.27,37.1917,27.7017,8.9,7.65,12.8817,7.2333,3.3867,13.7867,27.635,0,13.05,23.1067,8.8117,10.9883,7.9717
pc_046,24.6167,8.8467,25.69,19.7933,6.26,4.86,24.0683,24.6317,10.1717,16.9017,35.5583,25.5683,21.8567,27.1667,14.39,38.1767,39.6683,7.35,14.0217,4.9033,16.065,16.21,10.5817,32.5783,19.02,12.725,19.78,38.8267,16.7483,5.8,32.8967,52.2317,21.495,22.1533,24.3333,22.9317,42.5183,15.7217,6.3817,11.4567,25.3167,17.63,11.535,8.6733,15.655,13.49,0,12.9733,21.2467,10.3817,9.1033
pc_047,17.8317,8.71,18.905,18.2383,18.37,10.5733,17.2833,17.8467,14.295,15.4383,28.7733,16.195,15.0717,20.3817,6.24,31.3917,32.8833,19.46,2.8333,13.6383,19.9067,19.2117,18.7067,21.5733,24.2617,13.8633,14.5583,32.0417,17.2783,17.91,31.4333,41.2267,20.0317,20.64,17.5483,14.7333,35.7333,14.2583,18.4917,17.2617,19.3283,20.78,23.2483,10.1483,12.4483,23.9833,12.8567,0,21.2583,20.1083,16.145
pc_048,9.3433,23.68,15.7467,10.5317,16.7683,24.935,7.9133,14.2983,18.2767,30.4083,18.2367,35.4683,14.6417,13.0033,17.345,26.9467,27.7633,21.9917,23.1483,23.6017,13.0367,12.795,14.5433,34.895,4.8583,18.4217,13.3033,26.9217,14.5383,16.345,46.4033,54.5483,35.0017,2.6633,8.365,22.4267,30.6133,29.2283,16.8967,15.3217,6.0317,8.9983,10.3767,20.0133,27.4183,8.59,21.0467,21.165,0,13.695,15.9683
pc_049,21.05,15.875,27.4533,17.7217,5.4983,11.8883,19.825,26.005,15.0183,23.8317,29.9433,32.4983,25.955,24.71,22.3083,38.6533,39.47,12.0783,21.94,10.57,15.1767,16.065,10.23,40.4967,11.3717,17.9833,22.5783,38.6283,17.595,5.5533,39.8267,60.15,28.425,14.575,20.0717,30.85,42.32,22.6517,5.2117,14.8833,17.7383,15.2333,7.825,16.63,22.585,10.5783,10.72,20.8917,13.6683,0,10.2333
pc_050,18.265,17.115,21.9933,12.4633,5.2567,13.1283,17.3883,20.935,5.56,24.625,32.4,29.685,18.16,24.0083,13.835,35.0183,36.51,9.54,17.365,11.795,8.215,8.36,3.495,33.5733,14.4483,10.1633,14.7833,35.6683,9.8,4.64,40.62,53.2267,29.2183,17.5817,19.7783,22.7533,39.36,23.445,5.3183,5.5633,18.08,10.3,7.3067,7.1717,21.635,9.315,9.24,16.3167,16.675,10.2367,0
